username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Official ATLUS West,19544520,2021-01-05 22:02:12,"If you want to fight kaijus or shadows, you have until January 20, 2021 to grab these ATLUS deals on the PlayStatio... https://t.co/X4NkJ64QFX",506,None,302060,636,0.0,0.0
Cheap Ass Gamer,19631395,2021-01-05 14:01:43,"Yakuza Franchise Sale via PSN. https://t.co/ZOtVR9PcRU 

Yakuza Kiwami (PS4) $5.99
Yakuza Kiwami 2 (PS4) $12.99
Yak... https://t.co/O0IklC059T",483,None,395399,410,0.0,0.0
Wario64,28955739,2021-01-05 14:34:34,"Yakuza sale on US PSN
Judgment $19.99 https://t.co/bwMgQCvc17 
Kiwami $5.99 https://t.co/QMgXETEpxV
Kiwami 2 $12.99... https://t.co/vLR26SXO38",384,None,798804,660,0.0,0.0
Tom Warren,12273252,2021-01-05 00:12:37,IKEA now has dummy PS5 and Xbox Series X consoles so people can see how big they are next to IKEA TV stands and uni... https://t.co/1T3XKjmJir,381,None,130583,1632,0.0,0.05
The Verge,275686563,2021-01-05 05:08:07,The PS5 and Xbox Series X are so big that Ikea has mock consoles in store to help you buy a media cabinet... https://t.co/WKexRIE4ql,281,None,2750088,171,0.0,0.1
Cheap Ass Gamer,19631395,2021-01-05 22:16:13,Pre-Order: Persona 5 Strikers (PS4) &amp; Steelbook $59.99 via Best Buy. https://t.co/6QhfiFTZeh https://t.co/hQlRrjuudd,69,None,395399,410,1.0,0.3
Wario64,28955739,2021-01-05 23:23:22,"Pulse 3D Headset available at PS Direct https://t.co/J7VLHDeTcp
Best Buy (pick up) https://t.co/rH6BmDPz6G https://t.co/tt4JiMD0FI",32,None,798804,660,0.5,0.3666666666666667
Fat Kid Deals,2360121187,2021-01-06 00:11:02,"PS5 Console and Controller Vinyl Skin for $29.99!

https://t.co/CL1I8cIxwu https://t.co/ErBN22iPYg",24,None,538690,3,0.0,0.0
"if you can remote proctor me, youâ€™re too close",175292337,2021-01-04 19:17:15,"""People who want to get a vaccine are sitting on Eventbrite's pages waiting for vaccine slots to become available,... https://t.co/k6bD6F0zdq",15,None,17127,1383,0.4,0.4
Fat Kid Deals,2360121187,2021-01-06 17:06:02,"PS5 Console and Controller Vinyl Skin for $29.99!

https://t.co/CL1I8cIxwu https://t.co/VH9fStin85",11,None,538690,3,0.0,0.0
PressStartAustralia,990803882,2021-01-06 06:13:33,PS5 available for order at The Good Guys (no delivery date given) https://t.co/jaLxrlpWAL https://t.co/WDuO85uJTY,9,None,33904,3436,0.55,0.5
Digital Trends,14763734,2021-01-03 14:30:10,"While the PlayStation 5 had immediate appeal, the Xbox Series X feels more and more like the best long-term choice... https://t.co/oHbUFRpwQF",291,None,2110600,215356,0.6666666666666666,0.43333333333333335
ComicBook.com,22490294,2021-01-02 20:34:53,"A PS2-themed #PS5 is going on sale next week!

https://t.co/gq5vq1XJtn https://t.co/lPAaxWACQM",756,PS5,227827,1864,0.0,0.0
Wario64,28955739,2021-01-04 17:23:00,"Ys: Memories of Celceta - Timeless Adventurer (PS4) is $29.99 on Amazon https://t.co/Mvxo2jUsYq
Best Buy... https://t.co/lPXPBam3qe",25,None,798804,660,1.0,0.3
IGN,18927441,2020-12-31 05:01:04,"The free PlayStation Plus games coming January 5 include Maneater for PS5, and Shadow of the Tomb Raider and Greedf... https://t.co/bTTp1OP6el",136,None,7776166,1185,0.4,0.8
PlayStation,10671602,2020-12-31 03:12:01,"With over 2.5 million votes across more than 15 categories, this was PS Blog's biggest Game of the Year celebration... https://t.co/6Ws44emabE",218,None,20830234,755,0.04999999999999999,0.45
IGN,18927441,2020-12-30 04:01:04,Considering a PlayStation 5 or an Xbox Series X? We compare both consoles in six major categories:... https://t.co/n49zVGL5YP,108,None,7776166,1185,0.0625,0.5
Wario64,28955739,2021-01-02 16:06:28,"Final Fantasy VII: Remake (PS4) is $29.99 on Amazon https://t.co/rYSyZnB4Yc
Best Buy https://t.co/PQj3fupr7P
GameSt... https://t.co/8xQjVqt1aY",111,None,798804,660,0.5,0.65
ComicBook NOW!,2896294831,2021-01-02 20:33:52,"PS2-Themed PS5 Going on Sale This Month:

https://t.co/KFtiLhz3sc https://t.co/2g1LKvrYlT",80,None,246775,9978,0.0,0.0
Reuters,1652541,2021-01-01 11:25:13,Sony to launch PlayStation 5 in India in February https://t.co/KAE9fRSrL4 https://t.co/jtVP6Qmlt0,24,None,22863321,1130,0.0,0.0
TechCrunch,816653,2021-01-01 05:20:22,Sony to launch PlayStation 5 in India on February 2 https://t.co/KpnD4ba11D,25,None,10148748,962,0.0,0.0
Wario64,28955739,2020-12-30 17:54:52,PS5 bundle showing on Fred Meyer https://t.co/m04T2rFX5N https://t.co/mVcxGo3xXh,49,None,798804,660,0.0,0.0
PlayStationAU,360453582,2020-12-31 06:06:40,"Your PS Plus January games are:

* Maneater (PS5)
* Shadow of the Tomb Raider (PS4)
* Greedfall (PS4)

Available fr... https://t.co/BaAAcwJKD4",27,None,79095,415,0.4,0.4
Ask PlayStation,146540920,2020-12-31 19:00:11,Learn how to adjust your PlayStation 5 console settings to help maximize your experience with new features such as... https://t.co/dBw0bdMRmQ,27,None,1625509,2893,0.06818181818181818,0.4772727272727273
Pepsi Nigeria,533275436,2020-12-31 11:00:02,"Can you ever 'Sing Pass Wande"" ever?

Give it a shot to stand a chance to win a PlayStation 5, A Pepsi Roc Sac or o... https://t.co/vonxhJOBam",20,None,347170,230,0.8,0.4
TechCrunch,816653,2021-01-02 02:04:51,Sony to launch PlayStation 5 in India on February 2 https://t.co/VnXGtpsEk8,15,None,10148748,962,0.0,0.0
Temtem ðŸŽ„ Out now on PS5!,968034160408514560,2020-12-30 19:30:00,"-Launched on Early Access
-AND Playstation 5!
-Took away and hid over 200k Crystal Skates [?] https://t.co/HPKMCHqlUS",26,None,106964,96,0.125,0.3
